
 Version: 2.1
 Chunks: 1
 Start: 2026-09-17 10:14:59 (UTC)
 Duration: 13 s

 Event Type                              Count  Size (bytes) 
 jdk.ZThreadPhase                            0             0
 jdk.ZUncommit                               0             0
 jdk.ZUnmap                                  0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.Flush                                   0             0
 jdk.HeapDump                                0             0
 jdk.GCLocker                                0             0
 jdk.FinalizerStatistics                     0             0
 jdk.JavaAgent                               0             0
 jdk.NativeAgent                             0             0
 jdk.FileForce                               0             0
 jdk.FileRead                                0             0
 jdk.FileWrite                               0             0
 jdk.SocketRead                              0             0
 jdk.SocketWrite                             0             0
 jdk.JavaExceptionThrow                      0             0
 jdk.Deserialization                         0             0
 jdk.ProcessStart                            0             0
 jdk.ContainerConfiguration                  0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ThreadSleep                             0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.TLSHandshake                            0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.VirtualThreadStart                      0             0
 jdk.ContainerIOUsage                        0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.VirtualThreadPinned                     0             0
